Judet,c3511,c3512,c3513,c3514,c3521,c3522,c3523,c3530
dj,7.7,0,4.138,1.795,0,0,0,4.77
ms,0.206,0,0,0,0,11.061,11.842,1.422
vl,0.071,0,0,0,0,0,2.312,15.843
hr,0.071,0,1.428,0.347,0,0,2.844,7.952
nt,0.327,0,0.807,0,0,0.528,0,2.4
tm,0.582,0,2.01,0.195,0,0.206,0.38,4.336
tl,1.72,0,1.193,0,0,2.316,0,3.521
tr,1.061,0,0,0,0,0,0,9.198
bz,0.495,0,0.671,0.246,1.501,0,0,4.568
bv,0.561,2.427,2.4,0.691,0,0.451,0,1.727
vs,0.076,0,0,0.588,0,2.117,0,1.871
br,0.328,0,0.932,0,6.919,0,0,4.872
vn,0.302,0,0,0,0,0,0,5.934
bt,1.604,0,0,0,11.965,0,0,7.214
bn,0.985,0,0,0,0,0,0,1.352
if,0.445,0,0,0,0.739,0.487,1.446,0
sv,0.671,0,0,0,0,0,0.894,9.531
mh,0.109,0,0,1.364,0,1.185,0,3.085
bh,0.321,0,0,0.298,0,0.698,0,5.938
bc,0.786,0,0,0,0,0,0,5.255
ot,0.112,0,0,0,0,0,3.15,0
mm,0.334,0,0,0.248,0,0,0,0
db,0.098,0,0,0,0,0,0,2.753
is,0.263,0,4.019,0.635,0,1.862,0,1.679
sm,0.885,0,0,0,0,0,0,0
b,1.277,2.434,1.081,2.601,2.33,1.427,1.901,2.664
ar,2.362,0,0,0.296,0.905,0.678,0,0.767
hd,2.188,0,0,0.236,0,0,0,0
il,0.361,0,0,0,0,0,0,0
sj,1.236,0,0,1.248,0,1.276,0,5.747
ct,0.799,0,1.708,0.862,0,1.323,0,4.905
cs,1.522,0,1.115,0,0,0,0,2.82
gl,2,0,0,0.745,0,0.479,0,0
gj,0.138,0,0,0,0,0,0,2.757
sb,0.375,4.36,0.544,0.239,0,0,0,1.869
cl,0.083,0,0,0,0,0.882,0,2.368
cj,0.448,0,2.16,0.639,0,0.638,0,1.825
ab,0.1,0,0,0.892,1.488,0,0,0
ph,0.757,2.619,2.853,0.147,0.663,0.749,0,2.881
ag,1.045,0,0.437,0,0,0,0,4.885
gr,2.337,0,0,0,10.528,0,0,0
